logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	significance
1.91976986151091	7.01521537741171	10.9096416193957	1.26982427633412e-06	0.00987669322132678	5.8288843943343	ENSG00000169385	Upregulated in COVID
2.48779369449898	5.17709880897715	11.0846236934828	1.10515601134635e-06	0.00987669322132678	5.65092972542724	ENSG00000088826	Upregulated in COVID
3.78644068942859	5.96553105128681	10.1959358982185	2.28437967110451e-06	0.0118452700545672	5.11526755928037	ENSG00000211663	Upregulated in COVID
2.36957249414215	7.30255190739263	9.3534165839135	4.7873871933194e-06	0.0182264543481388	4.65354617467633	ENSG00000113140	Upregulated in COVID
1.71103832436596	8.23590909313262	8.92643436545803	7.1156078313998e-06	0.0182264543481388	4.29165307386395	ENSG00000102265	Upregulated in COVID
2.71727637307402	8.10295046084318	8.77730900434571	8.20167012323039e-06	0.0182264543481388	4.16098097554224	ENSG00000120885	Upregulated in COVID
4.07579063079691	6.31403284702348	8.81393612637113	7.91903920457536e-06	0.0182264543481388	4.09428113491127	ENSG00000101335	Upregulated in COVID
1.7870692342197	5.65976294180915	8.3503571631573	1.24533677501845e-05	0.0215249543024301	3.73731400556341	ENSG00000185340	Upregulated in COVID
-2.64938388994152	4.57752203651873	-8.59873667093057	9.74748630769811e-06	0.018953987125319	3.63549953179592	ENSG00000182568	Downregulated in COVID
1.72263528312319	10.2143568742119	8.21373644842559	1.42848521911788e-05	0.0222215160685978	3.63295871680325	ENSG00000117984	Upregulated in COVID
-2.06638604265555	4.78553923354852	-7.93035591355771	1.90974902723476e-05	0.0270073235160581	3.2103427796473	ENSG00000179456	Downregulated in COVID
-1.86334461499357	5.62653852965236	-7.683846708851	2.47463427804381e-05	0.0294338456574574	3.09096391704353	ENSG00000119900	Downregulated in COVID
-2.00450450203119	4.89140534353838	-7.74179043332398	2.32710179207621e-05	0.0294338456574574	3.06282454524188	ENSG00000113263	Downregulated in COVID
-2.15992487988949	5.82496080200099	-7.57493523638254	2.78035970281496e-05	0.0294338456574574	2.98613465014816	ENSG00000117335	Downregulated in COVID
-1.68421781179867	6.70485203333196	-7.47955058704738	3.08216698964159e-05	0.0299663685567904	2.91490512326011	ENSG00000152518	Downregulated in COVID
2.12659479598318	5.54285135089609	7.39374531071742	3.38438557970754e-05	0.0301331863660288	2.80504239762748	ENSG00000158373	Upregulated in COVID
3.14596950258118	4.61789818672847	7.55581120683877	2.83818259746632e-05	0.0294338456574574	2.79843301538469	ENSG00000211956	Upregulated in COVID
1.88437337808735	6.19746144107126	7.35421882215848	3.53435617097327e-05	0.0301331863660288	2.78237023522029	ENSG00000198848	Upregulated in COVID
1.69000942909847	6.33331687919578	7.31743568240504	3.68044832189861e-05	0.0301331863660288	2.74567350666139	ENSG00000111644	Upregulated in COVID
-1.96477012888295	6.62006962405429	-7.12960675307519	4.53672878310493e-05	0.0352866764749901	2.54460089703766	ENSG00000215301	Downregulated in COVID
-1.68100041275677	5.41886613812355	-6.96084079225842	5.49347843347508e-05	0.0378741925781802	2.34672661351168	ENSG00000148700	Downregulated in COVID
-1.81341753909839	5.23626788928021	-6.93731956736635	5.64343314910637e-05	0.0378741925781802	2.3108539613543	ENSG00000058063	Downregulated in COVID
4.2203430603355	6.35916891996939	6.91981667772003	5.7579107610764e-05	0.0378741925781802	2.30085494437933	ENSG00000198502	Upregulated in COVID
1.65589027872341	5.50811699821212	6.90700913984121	5.84327990406483e-05	0.0378741925781802	2.2972892983387	ENSG00000107438	Upregulated in COVID
-1.46916215789957	7.17438381607292	-6.80391315718603	6.58284811226449e-05	0.0388977813426864	2.18552202447128	ENSG00000138071	Downregulated in COVID
1.78427959367363	5.6541810424889	6.77855675940503	6.7799643027837e-05	0.0388977813426864	2.15757366010566	ENSG00000184702	Upregulated in COVID
1.76247530877217	7.15541594412674	6.6810205214045	7.60026124880459e-05	0.0391894126578542	2.0452775197353	ENSG00000188897	Upregulated in COVID
-1.75961448847047	4.82843452172573	-6.675697002691	7.64803906678197e-05	0.0391894126578542	2.00655041905747	ENSG00000013441	Downregulated in COVID
1.85937476200479	5.66399142568184	6.6153657281686	8.21293291801797e-05	0.0391894126578542	1.97447543582406	ENSG00000161944	Upregulated in COVID
1.98815639226595	4.54253177265112	6.64763608258425	7.90534032281615e-05	0.0391894126578542	1.96130297843738	ENSG00000160789	Upregulated in COVID
-2.46343223069697	4.22143295835651	-6.75101150708921	7.00140060166636e-05	0.0388977813426864	1.9558144197608	ENSG00000114166	Downregulated in COVID
-1.31418469463782	7.86140699720368	-6.57931693095312	8.57200606329598e-05	0.0391894126578542	1.92820969058982	ENSG00000140749	Downregulated in COVID
2.71462553377997	5.7366477253564	6.5320150135269	9.06929066394158e-05	0.0391894126578542	1.87768589209687	ENSG00000135929	Upregulated in COVID
1.21173759793953	6.80930971485239	6.53364454977855	9.05164728617154e-05	0.0391894126578542	1.87414853571564	ENSG00000176783	Upregulated in COVID
-1.2369108982704	5.96347634621978	-6.50161548461159	9.40537918557823e-05	0.0393579736002464	1.84358945009438	ENSG00000110395	Downregulated in COVID
2.0365045993311	4.15550987418582	6.5659163626932	8.7098069104601e-05	0.0391894126578542	1.8225638379453	ENSG00000164047	Upregulated in COVID
2.64438530983491	3.50534581113792	6.83597446406531	6.34248738992806e-05	0.0388977813426864	1.81553323436139	ENSG00000173210	Upregulated in COVID
1.30382078487764	6.0741886406127	6.45221838033837	9.98071283218815e-05	0.0393579736002464	1.78352478753059	ENSG00000127838	Upregulated in COVID
-2.06287336414981	5.23124949270169	-6.43441793412076	0.000101973151820011	0.0393579736002464	1.75776076958523	ENSG00000101972	Downregulated in COVID
1.61527159648628	6.27304888805253	6.43037367304493	0.000102472356878374	0.0393579736002464	1.75727594701672	ENSG00000113758	Upregulated in COVID
